code,name,name_ar,line,seq,lat,lon
S01,SAB,الأول,Line1,1,24.82944,46.61844
S02,Dr Sulaiman Al Habib,د.سليمان الحبيب,Line1,2,24.811554,46.626544
S03,KAFD,المركز المالي,Line1,3,24.768004,46.643644
S04,Al Murooj,المروج,Line1,4,24.754746,46.654221
S05,King Fahad District,حي الملك فهد,Line1,5,24.744914,46.659327
S06,King Fahad District 2,حي الملك فهد 2,Line1,6,24.736652,46.663387
S07,stc,stc,Line1,7,24.726797,46.66688
S08,Al Wurud 2,الورود 2,Line1,8,24.721727,46.671129
S09,Al Urubah,العروبة,Line1,9,24.713216,46.675366
S10,Alinma Bank,مصرف الانماء,Line1,10,24.703166,46.680325
S11,Bank Albilad,بنك البلاد,Line1,11,24.696508,46.683926
S12,King Fahad Library,مكتبة الملك فهد,Line1,12,24.68969,46.687365
S13,Ministry of Interior,وزارة الداخلية,Line1,13,24.674243,46.695048
S14,Al Muorabba,المربع,Line1,14,24.664851,46.702446
S15,Passport Department,الجوازات,Line1,15,24.65956,46.704395
S16,National Museum,المتحف الوطني,Line1,16,24.646063,46.714165
S17,Al Bat'ha,البطحاء,Line1,17,24.637931,46.715234
S18,Qasr Al Hokm,قصر الحكم,Line1,18,24.628582,46.716119
S19,Al Owd,العود,Line1,19,24.625319,46.721018
S20,Skirinah,سكيرينة,Line1,20,24.617552,46.725407
S21,Manfouhah,منفوحة,Line1,21,24.610457,46.727517
S22,Al Iman Hospital,مستشفى الايمان,Line1,22,24.601008,46.735244
S23,Transportation Center,مركز النقل العام,Line1,23,24.597987,46.745141
S24,Al Aziziah,العزيزية,Line1,24,24.586137,46.761196
S25,Ad Dar Al Baida,الدار البيضاء,Line1,25,24.559589,46.776547
S26,King Saud University,جامعة الملك سعود,Line2,26,24.709678,46.628711
S27,King Salman Oasis,واحة الملك سلمان,Line2,27,24.716629,46.638777
S28,KACST,المدينة التقنية,Line2,28,24.720171,46.646932
S29,At Takhassussi,التخصصي,Line2,29,24.723407,46.654649
S07,stc,stc,Line2,30,24.726558,46.666545
S30,Al Wurud,الورود,Line2,31,24.73304,46.677493
S31,King Abdulaziz Road,طريق الملك عبدالعزيز,Line2,32,24.736239,46.685219
S32,Ministry of Education,وزاره التعليم,Line2,33,24.739977,46.693467
S33,An Nuzhah,النزهة,Line2,34,24.747822,46.713114
S34,Riyadh Exhibition Center,مركز الرياض للمعارض,Line2,35,24.753785,46.727212
S35,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,Line2,36,24.767058,46.758974
S36,Al Hamra,الحمراء,Line2,37,24.776421,46.776758
S37,Al Khaleej,الخليج,Line2,38,24.78145,46.794471
S38,Ishbiliyah,اشبيليا,Line2,39,24.79216,46.811069
S39,King Fahad Sport City,مدينة الملك فهد الرياضية,Line2,40,24.792436,46.836994
S40,Jeddah Road,طريق جده,Line3,41,24.591214,46.543394
